word,difficulty
smelters,3
hymnal,3
tartaric,3
bindi,3
Haitian,3
divan,3
badminton,3
bayonet,3
currycomb,3
haughty,3
hesitate,3
opportunity,3
Apollo,3
accordance,3
atmospheric,3
levees,3
precariously,3
proportionate,3
suffused,3
accelerates,3
coincidence,3
prestigious,3
emphatic,3
contaminated,3
Madagascar,3
exposure,3
parachuted,3
periodically,3
intriguing,3
absorptive,3
incomprehensible,3
Merrimack,3
Sinai,3
asparagus,3
solace,3
argyria,3
guanine,3
xylyl,3
therapeutic,3
tumultuous,3
commodore,3
playwright,3
senile,3
laryngitis,3
proximo,3
Giza,3
fixity,3
jodhpurs,3
hydrargyrum,3
carborane,3
denouncement,3
Columbia,3
imaret,3
